                       x                       y                  E(x,y)
  6.8686868686868696E-01  1.0101010101010102E-02  7.7917966575695940E-05
  6.9696969696969702E-01  1.0101010101010102E-02  7.7100914214379510E-05
  7.0707070707070718E-01  1.0101010101010102E-02  7.6028040215788827E-05
  7.1717171717171724E-01  1.0101010101010102E-02  7.4705708764485413E-05
  7.2727272727272729E-01  1.0101010101010102E-02  7.3147110722342478E-05
  7.3737373737373746E-01  1.0101010101010102E-02  7.1357990291754877E-05
  7.4747474747474751E-01  1.0101010101010102E-02  6.9350451438547546E-05
  7.5757575757575768E-01  1.0101010101010102E-02  6.7136790969470249E-05
  7.6767676767676774E-01  1.0101010101010102E-02  6.4728922275007254E-05
  7.7777777777777779E-01  1.0101010101010102E-02  6.2145779367357877E-05
  7.8787878787878796E-01  1.0101010101010102E-02  5.9397906416229238E-05
  7.9797979797979801E-01  1.0101010101010102E-02  5.6502817777700743E-05
  8.0808080808080818E-01  1.0101010101010102E-02  5.3479207660030665E-05
  8.1818181818181823E-01  1.0101010101010102E-02  5.0345553755952192E-05
